Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Type,Date,Overlay Transparency
Gobasi recording (20) (CLV1-020),audio/CLV1-020-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/CLV1/020,"Gobasi language. The second part of the recording contains music: vocal and drums
JK 7/5/2019. Language as given: Gobasi",5,,-6.49,142.20,,,https://catalog.paradisec.org.au/collections/CLV1/items/020,,music,1967-01-01,
Police Motu + Kiwai (Radio Daru) (2); Agob (7); Agob (8) (SAW3-002),audio/SAW3-002-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SAW3/002,"Recording from Radio Daru, plus elicitation sessions in English and Agob. Recorded in Daru, PNG. Language as given: Police Motu; Agob; Kiwai",5,,-8.97,142.53,,,https://catalog.paradisec.org.au/collections/SAW3/items/002,,speech,1966-06-29,
Kunini (12) Kunini (13) Kiwai Wabuda (1) (SAW3-024),audio/SAW3-024-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SAW3/024,Continuation of Kunini elicitation session at Daru with speaker Tati Olevale. Language as given: Kunini (12) Kunini (13) Kiwai Wabuda (1),5,,-9.05,142.89,,,https://catalog.paradisec.org.au/collections/SAW3/items/024,,speech,1966-06-03,
Iatmul-5B-Kandingei-721220-4to5 (BM1-Iatmul5),audio/BM1-Iatmul5-B_Kandingei_721220_002.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/BM1/Iatmul5,"Contains Tanjangaui, Bruwagen, Kumbariminja, Kwienda, Kwaik, Tubekumban; Item contains instrumental music. Language as given: Iatmul",5,,-4.24,143.32,,,https://catalog.paradisec.org.au/collections/BM1/items/Iatmul5,,music,1972-12-20,
"Wabuda (1), Wabuda (2), Kunini (1) (SAW3-018)",audio/SAW3-018-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/SAW3/018,"N.G. 1966 W.D. Tape 116; Side 1: 30/6/66 Wabuda (1); Side 2: 30/6/66 Wabuda (2), 00/07/66 Kunini (1). Language as given: Wabuda (Waboda), Kunini (Bine)",5,,-8.35,143.57,,,https://catalog.paradisec.org.au/collections/SAW3/items/018,,speech,1966-06-30,
Yimas (WF1-WFCD19),audio/WF1-WFCD19-foleyY42.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/WF1/WFCD19,"Y4 side 1 (33:14) ""0-180 nam amEnanEn 180-317 Waktn dapanman"" side 2 (32:10) ""Trip to Manila"". Language as given: Yimas",5,,-4.72,143.57,,,https://catalog.paradisec.org.au/collections/WF1/items/WFCD19,,speech,1977-01-01,
Mambu Music (WF2-1979001),audio/WF2-1979001-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/WF2/1979001,"Mambu Music Players: Francis, William Muki, Valentine Kawi, Ignes; Item contains instrumental music. Language as given: Yimas",5,,-4.72,143.57,,,https://catalog.paradisec.org.au/collections/WF2/items/1979001,,music,1979-01-01,
"Mendi, Wola, Kerewa (AC1-031)",audio/AC1-031-A.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/031,"Box note confirms card details (not in Capell's hand).Side 1: Mendi - Language with a number of dialects, spoken east and west of the Mendi River, Southern Highlands Province, PNG.Side 2: Wola - Probably Wala, a sub-dialect of West Mendi.Kerewa - Perhaps the adjacent language group Kewa, but possibly Kerewo, Gulf Province, PNG.Side 2 contains Kerewa (confirmed by Martin Steer 2008).Kerewo material begins at 13.30 mins into the recording.; (Date given is approximate). Language as given: Mendi, Wola, Kerewa",5,,-6.04,143.59,,,https://catalog.paradisec.org.au/collections/AC1/items/031,,speech,1960-01-01,
Tabriak (WF1-WFCD26),audio/WF1-WFCD26-foleyK22.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/WF1/WFCD26,"K2 side 1 (29:27) ""0-42 Numerals (Noun Class Concord) 42-57 Irregular nouns 57-74 Proximal Deictics (Noun Concord) 74-149 Verb Pictures Class Agreement 149-202 Verbal Word List 202-283 Tense/Negation"" side 2 (18:47) ""0-154 Text 1: Devil Meri"". Language as given: Tabriak",5,,-4.49,143.59,,,https://catalog.paradisec.org.au/collections/WF1/items/WFCD26,,speech,1977-01-01,
Tindi - Yaku of Popyulea by Pepos (RJL1-013),audio/RJL1-013-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/RJL1/013,(1) Tindi - Yaku of Popyulea by Pepos (Lauy copy?) (2); [Further contextual information about the Lacey Collection is held by the Pacific Archives at the Australian National University Archives]. Language as given: Enga,5,,-5.47,143.69,,,https://catalog.paradisec.org.au/collections/RJL1/items/013,,music,1972-09-01,
Taiyo - Yambatane - Watenge - Sangai Nemango - Poketamanda (RJL1-014),audio/RJL1-014-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/RJL1/014,(1) Taiyo - Yambatane - Watenge - Sangai Nemango - Poketamanda (2) YAKU of Tata: Kitupane - Sangai Nemongo - Tindi Pii (incomplete?) - Collected by Repas Sulunki; [Further contextual information about the Lacey Collection is held by the Pacific Archives at the Australian National University Archives]. Language as given: Enga,5,,-5.47,143.69,,,https://catalog.paradisec.org.au/collections/RJL1/items/014,,speech,1972-03-18,
Narratives in eastern Kiwai (JH1-63),audio/JH1-63-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JH1/63,Narratives in eastern Kiwai. Language as given: Urama dialect of eastern Kiwai,5,,-7.43,144.67,,,https://catalog.paradisec.org.au/collections/JH1/items/63,,speech,1967-12-30,
Narratives in eastern Kiwai (JH1-A4),audio/JH1-A4-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JH1/A4,Handwritten transcript in pdf file . Language as given: Urama dialect of eastern Kiwai,5,,-7.43,144.67,,,https://catalog.paradisec.org.au/collections/JH1/items/A4,,speech,1967-12-30,
Recording of Urama language and elicitation of some words from Aurai (bush) language (JH1-KAIOO),audio/JH1-KAIOO-Ashort.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JH1/KAIOO,"The speaker, Kaio'o, was a retired member of the Royal Papuan Constabulary.He describes a patrol up the Purari(probably ca. 1950)in which the party was ambushed & the leader wounded. Kaio'o's skills as a raconteur are limited. The Aurai material consists of a few words elicited through Police Motu. The exact geographical location of its speakers (in the bush behind the area of Kiwai settlement) & its linguistic affiliations are unknown. geographical location. Language as given: Urama dialect of eastern Kiwai and Aurai (non-Kiwai) language",5,,-7.43,144.67,,,https://catalog.paradisec.org.au/collections/JH1/items/KAIOO,,speech,1967-12-30,
Fore Stories 1-52 (TD1-NG6),audio/TD1-NG6-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/NG6,Side 1 -- 1. Visit to Kaukau Garden-- 2. A Bat Inside My House. Language as given: Fore,5,,-6.58,145.51,,,https://catalog.paradisec.org.au/collections/TD1/items/NG6,,speech,1960-01-01,
Songs from Gulf Province (TD1-P02676),audio/TD1-P02676-P02676B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P02676,"Songs from Siviri Village sung by Mr Maravilla Lala.Side1 Songs are called Oapu and side 2 Songs are called Heio with 2 string band songs also sung in Tairuma Language of Siviri Village. -- Recording by Michael Kari Dept. of Anthropology & Sociology, UPNG. Language as given: Tairuma",5,,-7.94,145.74,,,https://catalog.paradisec.org.au/collections/TD1/items/P02676,,music,1976-09-15,
Germans Ruined our Village (DD1-458),audio/DD1-458-02.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/DD1/458,"Asel tells the history of Gorendu, focusing on Maclay and the Germans.",5,,-5.50,145.81,,,https://catalog.paradisec.org.au/collections/DD1/items/458,,speech,2016-01-25,
Waskia Discourse (MR1-063),audio/MR1-063-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/MR1/063,Waskia Discourse. Language as given: Waskia,5,,-4.66,145.86,,,https://catalog.paradisec.org.au/collections/MR1/items/063,,music,1980-01-01,
"Palyc-Cakapana, Procreation - Tape 1 (JM2-YAG008)",audio/JM2-YAG008-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JM2/YAG008,"Palyc-Cakapana, Procreation - Tape 1. Language as given: Kukɨna Yaguye",5,,-7.11,146.02,,,https://catalog.paradisec.org.au/collections/JM2/items/YAG008,,speech,1983-08-01,
"WORKING TAPE 2, Jan-Feb 94 Tok Pisin (JM3-1994_WT02)",audio/JM3-1994_WT02-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JM3/1994_WT02,"WORKING TAPE 2, Jan-Feb 94. Language as given: Yagwoia",5,,-7.11,146.02,,,https://catalog.paradisec.org.au/collections/JM3/items/1994_WT02,,music,1994-01-01,
"Mirivase E, Miaru C - Avihara D (TD1-0276)",audio/TD1-0276-0276B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/0276,Side 1-- 1. Mahare Ako (aged about 68)-- 2. Mautei Lili -- Foo Mapua-- Karuraka Makao 3 -- Meata Sari-- Fareho Haiveta -- Side 2 -- Hasa Taure E1 (aged about 66) -- Suve Hiovake E2 -- Kake Sevesevita E3 -- Pukari Lakoko E4.,5,,-8.10,146.21,,,https://catalog.paradisec.org.au/collections/TD1/items/0276,,speech,1976-03-15,
Lessau stories (TS1-N087),audio/TS1-N087-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/N087,"A. Lessau. (Lindrow village at West end of Manus, a Lutheran Evangelical mission station) Bogandi of Lessau Lapalokoyan, Busibati Oto Sinda of Putyow. Warfare, “spy” the “kantre” (MoBrSo)|
B. Lessau. Bogandi, etc. continued;|
C. N87a, N87b, plus a little more|
D. Bogandi of Lessau series of stories.",5,,-2.11,146.61,,,https://catalog.paradisec.org.au/collections/TS1/items/N087,,speech,1965-03-02,
Nabak (KM1-046),audio/KM1-046-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/KM1/046,Nabak 3. Language as given: Nabak,5,,-6.45,146.97,,,https://catalog.paradisec.org.au/collections/KM1/items/046,,speech,1968-01-01,
Koita (TD1-P023),audio/TD1-P023-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P023,Koita -- Side 1-- 1. Kilakila - SAW's Lexico - stats.-- 2. Supplementary items SIL Material -- Side 2 -- 3. Texts: 'Beholi' Origins -- 4. TED's Sen Terms (Culture - TEDs) -- Grammar Manual. Language as given: Koita,5,,-9.33,147.08,,,https://catalog.paradisec.org.au/collections/TD1/items/P023,,speech,1967-01-01,
Kapo (TS1-N053),audio/TS1-N053-2.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/N053,Kapo (an Usiai village just inland from the SouthCoast—closely related to Nali language group) Manus Pende of Ponamus. Stories of wars and myths. Tomas Pondis of Maleh (accompanying TS) Maleh myth about/spia botol/ obsidian spear points. Pokanau of Nuang. Myths.,5,,-2.14,147.20,,,https://catalog.paradisec.org.au/collections/TS1/items/N053,,speech,1964-09-01,
"Manumanu 12/1/58: Side A, Dagu Dubu; Side B, HIstory of Manumanu iduhu (MG1-020)",audio/MG1-020-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/MG1/020,"Side A, Dagu ; Dubu;
Side B, HIstory of Manumanu iduhu. Language as given: Motu",5,,-9.55,147.26,,,https://catalog.paradisec.org.au/collections/MG1/items/020,,speech,1973-12-31,
Joel Bradshaw Numbami recordings 1 (JB1-001),audio/JB1-001-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JB1/001,"Tape Nu. 1.1 Oct. 17, 1976 - 1. Nomba eta kunduna - Kulakula kunda na (Wok bl saksak) 1-70/SawaNga Aliau Oct. 17, 1976 Teteu Numbami/ Nu 1.2 Numbami Origin - Numbami udi Dabola/Abu Bamo Nov 5, 1976 Teteu Numbami/Something about sago.Side A only contains 6 minutes of recording; side B ends in middle of story. . Language as given: Numbami",5,,-7.52,147.30,,,https://catalog.paradisec.org.au/collections/JB1/items/001,,speech,1976-11-05,
Baluan stories (TS1-N156),audio/TS1-N156-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/N156,"A. Baluan Baluan songs, dirges by Papi of Lipan. 1/3 tape not trans. |
B. Baluan songs by Papi Poem, Lou Island (Extended)
. Language as given: Baluan",5,,-2.54,147.30,,,https://catalog.paradisec.org.au/collections/TS1/items/N156,,music,1965-09-26,
Pere (TS1-A025),audio/TS1-A025-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/A025,"Pere- Church Service, singing. Ignore announcement.",5,,-2.36,147.32,,,https://catalog.paradisec.org.au/collections/TS1/items/A025,,speech,1953-08-30,
Sio; Manikion (AC1-029),audio/AC1-029-A.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/029,"Side 1:Sio - Austronesian languages spoken on central north coast, Huon Peninsula, PNG.See tape 028. commencing with Swadesh wordlist. -- Side 2:Manikion - Box note states that this is final section of Manikion but see tape 030 too.

Side B: blank. Language as given: Sio, Manikion",5,,-5.96,147.35,,,https://catalog.paradisec.org.au/collections/AC1/items/029,,speech,1900-01-01,
Koiari (TD1-P004),audio/TD1-P004-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P004,"(Sogeri) Stories -- 1. Story 1: First Day's Informant Work (Auda)-- 2. Story 2: The Pig (Auda)-- 3. Story 3: The Day We Shot Two Snakes (Imisi)-- 4. Story 4: The Ogotana Wedding Payback (Imisi) -- 5. Story 5: How We Went See Aboni Biae & Uberi (Auda)-- 6. Story 6: Biae Foro (Maika Maka) -- 7. Story 7: Biae Foro and Tamati (Maika) -- 8. Story 8: The Mumu (Auda) -- 9. Story 9: Gawada (Auda) -- 10. Story 10: The Day We went To See Fufuli (Auda) -- 11. Story 11: Folktale From Marshall Lagoon (Kauka Sameme) (f.) -- 12. Story 12: Soli and Budo. (Dubu)-- Transcripted

(Date approximate, inferred from others in this series (TD1-P###). Language as given: Grass Koiari",5,,-9.50,147.44,,,https://catalog.paradisec.org.au/collections/TD1/items/P004,,speech,1967-01-01,
"Krooni, Martin on war. Krooni, Soŋor and Kem on tok ples, Martin on Japanese. (DK1-008)",audio/DK1-008-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/DK1/008,"Tape 1A: Krooni about war Krooni/ Soŋor and later Kem on tok ples, Krooni/ Banaŋ Maroka
Wed. April 2, 1986 000-272: Martin on the TP of the Japanese during the war, past size of Gapun, war in general

",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/DK1/items/008,,speech,1986-04-02,
Yagwoia Jan-Feb 94 (JM3-1994_WT03),audio/JM3-1994_WT03-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/JM3/1994_WT03,"WORKING TAPE 3, Jan-Feb 94. Language as given: Yagwoia",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/JM3/items/1994_WT03,,speech,1994-01-01,
H/Motu & Pidgin (TD1-P00274),audio/TD1-P00274-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P00274,"Side 1 -- 1. Josephine Abaija (14/3/74) -- 2. Lae War Cemetary & plane takeoff (Pidgin) -- 3. Ples Balus (Pidgin). Language as given: Pidgin, Hiri Motu",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TD1/items/P00274,,music,1974-03-14,
"Kimi, Bugle, Pidgin story (TD1-P125)",audio/TD1-P125-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P125,"Recorded at Okapa, Xmas 1959-60-- Side 1-- 1. Kimi - Lessons 1-4-- 2. Buglecall on station 6pm-- Side 2 -- 1. Bugle Variations-- 2. Pidgin Story - (Manus Is.) - Asa Na Elu; Item contains instrumental music. Language as given: Pidgin, Kimi",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TD1/items/P125,,speech,1959-12-25,
Pidgin English & Police Motu (TD1-P137),audio/TD1-P137-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P137,"1. Tolai (Mathias Kama 'My Family' (29/8/71)-- 2. Wilson Ifanaoi - Solomons Is. 'My Family' (29/8/71)-- Tracks 1 & 2 at 3.75 ips-- 3. The News in Pidgin (31/8/71) -- 4. The News in Police Motu (31/8/71) --Tracks 3 & 4 at 1.875 ips. Language as given: Pidgin, Police Motu",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TD1/items/P137,,speech,1971-08-31,
NG Pidgin (ex. R.Davy) (TD1-P160),audio/TD1-P160-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P160,"NG Pidgin (ex. R.Davy) -- Side 1 -- 1. ABC News in English -- 2. ABC News in Pidgin & 'Contact' Progs. -- 3. NG Music -- 4. ABC 'Contact' Progs. -- Side 2 -- 1. ABC 'Contact' Progs. -- 2. ABC News in Pidgin -- 3. Music 'Welcome' Song for Ebia Olewale. Language as given: Pidgin, English",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TD1/items/P160,,speech,1972-01-01,
NG Pidgin - War Recollections (Manus Is.) (TD1-P164),audio/TD1-P164-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P164,"WO William Matpi, Rossan Vill., Manus: War Recollections - collected by Capt. Trevor McQuinn Aug '73 --(Copied for War Memorial 14/2/79). Language as given: NG Pidgin",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TD1/items/P164,,speech,1973-08-01,
Sori recordings (TS1-N016),audio/TS1-N016-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/N016,"A. Sori Island toward West end of North Coast ofManus, small islands. Songs and stories by Simbuom and Francis tp and pe. 3songs, 5 stories on 13th a second session. Songs and war stories. Trans. Lrs. |
B. SORISIDE 2DIRGES AND NARRATIVE GARAMUTS. Language as given: Sori",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TS1/items/N016,,music,1963-11-12,
Pak Island (TS1-N039),audio/TS1-N039-2.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/N039,"Pak Island One: continuing story by kakau—tree ascends, goes to master in sky.",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TS1/items/N039,,speech,1964-06-18,
Mbunai (TS1-N074),audio/TS1-N074-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/N074,"A. Mbunai. Christmas in Mbunai church. Trs. Lrs. |
B. Mbunai. Christmas church service continued.",5,,-6.97,147.72,,,https://catalog.paradisec.org.au/collections/TS1/items/N074,,music,1964-12-25,
Wamorâ 1 (KM1-049),audio/KM1-049-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/KM1/049,Wamorâ 1. Language as given: Wamora,5,,-6.49,147.76,,,https://catalog.paradisec.org.au/collections/KM1/items/049,,speech,1968-01-01,
Nauna (TS1-N040),audio/TS1-N040-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TS1/N040,A. Nauna Island (at eastern extreme of Manus archipelago),5,,-2.21,148.20,,,https://catalog.paradisec.org.au/collections/TS1/items/N040,,speech,1964-06-22,
Songs and stories (MG1-008),audio/MG1-008-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/MG1/008,"A song (""peroveta"") and storytelling in Hiri Motu. Other languages could be from Central or Milne Bay Provinces.",5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/MG1/items/008,,music,1973-12-31,
Maipua (TD1-2078),audio/TD1-2078-2078B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/2078,"Side 1-- 1.Hiri Qs-- 2. HTL examples-- 3. Gori -- 4. SAW's Lexico -- Side 2-- 1. SAW's lexico --(to item 153. Language as given: Maipua, HTL(K)",5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/TD1/items/2078,,speech,1978-01-01,
Koriki (Kinipo Village) (TD1-2278),audio/TD1-2278-2278B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/2278,Side1-- Kinipo Village (Koriki)-- -Qs about hiri -- -HTL S's-- -SAW's lexico list (part of)-- Side 2 (cont) -- -Gori ta - Why Koriki Go to POM-- -Some more Qs about hiri. Language as given: Koriki,5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/TD1/items/2278,,speech,1978-01-01,
Pari Village (Igo Ovia) HTL; Hiri (TD1-P00279),audio/TD1-P00279-P00279B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P00279,Pari Village 31/5/79 - Interview with Igo OVIA (m) about HTLs + hiri. Language as given: HTLs,5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/TD1/items/P00279,,speech,1979-05-31,
Hiri Motu - Goilala Sub-District Survey (TD1-P00474),audio/TD1-P00474-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P00474,"Side 1 -- 1. Pita Komai - Oro Vill. -- 2. John Gutoila - Laramaita Vill. -- 3. Pita Komai - Oro Vill. -- 4. Louis Mona - Baidana Vill. -- 5. Mark Erico - Fane Vill. -- 6. Ovai Arivi - Tatupiti Vill. -- 7. Amai Kono- Boruboru Vill. -- Language as given: Tauade, Fuyuge, Kunimaipa, Hiri Motu",5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/TD1/items/P00474,,speech,1974-03-23,
Hiri Motu 1977 (TD1-P00477),audio/TD1-P00477-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P00477,Hiri Motu News excerpts Sept 77; Item contains instrumental music. Language as given: Hiri Motu,5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/TD1/items/P00477,,music,1977-09-01,
Interviews with Moi Higo. Boera & Maraga Momo. K/K (TD1-P00479),audio/TD1-P00479-P00479B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P00479,"1. Interviews with Moi Higo, Boera by Deresa Avei for Elizabeth Thomas March 1976-- 2. Maraga Momo interview with Vasi Gadiki for E. Thomas April 14 / 1976 -- [Copy of tape in NG Collection, UPNG 13/6/79]. Language as given: Boera",5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/TD1/items/P00479,,speech,1979-06-13,
Mountain Koiari stories (TD1-P010),audio/TD1-P010-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P010,Stories -- 1. Efogi:Police Motu Story of Origin ('Haganumu'),5,,-6.50,148.42,,,https://catalog.paradisec.org.au/collections/TD1/items/P010,,speech,1966-01-01,
Fijian 'dentist' (AC1-024),audio/AC1-024-A.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/024,"Language as given: Fijian, Mailu",5,,-10.26,149.15,,,https://catalog.paradisec.org.au/collections/AC1/items/024,,speech,1960-08-01,
"United Church Choir, Salamo Fergusson Island, PNG (IB1-002)",audio/IB1-002-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/IB1/002,"UC Choir singing in English & Dobuan. Conductor Lu Piper. Translation by Rev Eric Lawson. Trainer Miss L. Piper
Side 1: 'Men of Sorrow': ""Guide me O Thou great Jehovah"": ""Surely Goodness and Mercy"": ""Low in the Grave"": ""What did he do"": ""Wonderful grace"": ""Lord's Prayer"": ""Batu"": ""Heavenly Sunshine"": (part)
. Language as given: Dobuan",5,,-9.78,151.00,,,https://catalog.paradisec.org.au/collections/IB1/items/002,,music,1969-07-26,
"Tolai Texts (Rakunai) Part 1,Historical texts 1-13, Part 2 texts 14-22 (TD1-P02776)",audio/TD1-P02776-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/TD1/P02776,"All stories from the Rakunai area and includes specific places in the area or neighbouring/surrounding places, and far distant places within the Gazelle Peninsula, East New Britain, PNG.  Language as given: Tolai (Rakunai)",5,,-4.27,152.11,,,https://catalog.paradisec.org.au/collections/TD1/items/P02776,,speech,1976-01-01,
"Kuanua (Nodup), Siar (wordlists) (MR1-036)",audio/MR1-036-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/MR1/036,"Kuanua (Nodup), Siar Language as given: Kuanua, Siar",5,,-4.54,152.89,,,https://catalog.paradisec.org.au/collections/MR1/items/036,,speech,1980-01-01,
Kapingamarangi (AC1-015),audio/AC1-015-A.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/015,Recorded at Raratonga. Language as given: Kapingamarangi,5,,1.09,154.80,,,https://catalog.paradisec.org.au/collections/AC1/items/015,,speech,1900-01-01,
Kuboro text; Uisai text; Nagovisi (AC1-002),audio/AC1-002-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/002,"Side 1 Kuboro text; Uisai text; Side 2 Uisai text cont;Nagovisi--Box note confirms card details. -- Kuboro = Rotokas, a Papuan language in Central and Eastern Bougainville around Koboro Bay, Solomon Island Province, PNG. --Uisai - Inland dialect of Buin, a Papuan language of S.E. Bougainville. --Nagovisi - Papuan language of South-Central Bougainville, west of Mt Takuam. Language as given: Kuboro ; Uisai ; Nagovisi",5,,-6.56,155.71,,,https://catalog.paradisec.org.au/collections/AC1/items/002,,speech,1960-05-01,
Vella Lavella Stories (KO1-003),audio/KO1-003-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/KO1/003,"Side A: Text 1-4
Side B: Text 5-11
Text5: Everyday life. Everyday life on the Vella Lavella Island, told by Florence Ivulu
",5,,-7.83,156.66,,,https://catalog.paradisec.org.au/collections/KO1/items/003,,music,1997-03-01,
Texts in Bilua (KO1-007),audio/KO1-007-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/KO1/007,"Texts 40-49
",5,,-7.83,156.66,,,https://catalog.paradisec.org.au/collections/KO1/items/007,,speech,1997-05-03,
Banyata; Kia (AC1-006),audio/AC1-006-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/006,"Banyata - See also tapes 003. 004. 005, 113. -- Kia - Austronesian language of northern half of Santa Isabel Island, Central Solomons. Language as given: Banyata; Kia",5,,-8.64,157.42,,,https://catalog.paradisec.org.au/collections/AC1/items/006,,speech,1960-06-12,
Kohaivi (AC1-009),audio/AC1-009-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/009,"This may be Hoava, an Austronesian language of N.W. Georgia Island.",5,,-8.16,157.60,,,https://catalog.paradisec.org.au/collections/AC1/items/009,,speech,1960-01-01,
Lavukaleve women's dances (AC1-010),audio/AC1-010-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/AC1/010,"Papuan language of the Russell Islands, Central Solomons. Language as given: Lavukaleve",5,,-9.06,159.06,,,https://catalog.paradisec.org.au/collections/AC1/items/010,,music,1970-01-01,
Kokota (BP2-94T7),audio/BP2-94T7-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/BP2/94T7,Language as given: Kokota,5,,-8.04,159.19,,,https://catalog.paradisec.org.au/collections/BP2/items/94T7,,speech,1994-12-12,
Folktales Cheke Holo (GW1-76074),audio/GW1-76074-B.mp3,Go to the file in PARADISEC,http://catalog.paradisec.org.au/repository/GW1/76074,"Folktales, Kolivoko. Digitized as GW1-76074-A.wav and GW1-76074-B.wav on 04/15/09. Filistas Mifi. Language as given: Cheke Holo",5,,-8.32,159.63,,,https://catalog.paradisec.org.au/collections/GW1/items/76074,,speech,1976-03-31,
